,customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,full_name,age
1095,1096,M,33,1969-11-29,Software Test Engineer I,Health,High Net Worth,N,No,14.0,Jakie-Mungham,53
1096,1097,F,71,1968-01-31,Engineer II,Financial Services,Mass Customer,N,Yes,18.0,Gwenora-Grabbam,54
1097,1098,F,99,1989-02-01,Administrative Assistant IV,Financial Services,Mass Customer,N,Yes,12.0,Maure-Crow,33
1098,1099,M,12,1975-01-13,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,11.0,Jarrett-Maffia,47
1099,1100,M,59,1983-01-02,Engineer I,Manufacturing,Mass Customer,N,No,15.0,Cord-Braundt,39
1101,1102,F,16,1976-08-17,Recruiting Manager,Manufacturing,Affluent Customer,N,No,15.0,Stephana-Puzey,46
1102,1103,F,76,1978-01-30,Financial Advisor,Financial Services,High Net Worth,N,Yes,20.0,Glynnis-Sailor,44
1103,1104,F,82,1959-12-31,Programmer III,Retail,Mass Customer,N,No,8.0,Jewelle-Pincott,63
1105,1106,F,2,1962-12-17,Software Consultant,Retail,Mass Customer,N,No,15.0,Sibyl-Bigmore,60
1106,1107,F,70,1974-07-17,Social Worker,Health,High Net Worth,N,No,18.0,Maridel-Whitby,48
1107,1108,F,86,1962-03-06,Dental Hygienist,Health,Mass Customer,N,No,17.0,Ginnie-Farriar,60
1108,1109,M,21,1989-09-01,Web Developer II,Entertainment,High Net Worth,N,No,6.0,Nestor-Billingsley,33
1109,1110,M,73,1991-03-17,Information Systems Manager,Retail,High Net Worth,N,No,12.0,Lazar-Cherryman,31
1112,1113,M,45,1992-06-24,Recruiter,Property,Mass Customer,N,No,6.0,Dorie-Willock,30
1113,1114,F,96,1976-06-03,Structural Engineer,Retail,Mass Customer,N,No,14.0,Evonne-Southan,46
1115,1116,F,59,1974-06-26,Assistant Manager,Health,Mass Customer,N,Yes,16.0,Tori-Coche,48
1117,1118,F,95,1975-12-19,Sales Representative,Retail,Mass Customer,N,Yes,9.0,Colline-Coulman,47
1119,1120,F,87,1980-08-31,Web Developer IV,Retail,Affluent Customer,N,No,12.0,Jacquelyn-Rowlinson,42
1120,1121,F,30,1984-01-21,Registered Nurse,Health,Mass Customer,N,Yes,3.0,Dione-Raithby,38
1123,1124,M,36,1965-02-03,Health Coach III,Health,Affluent Customer,N,Yes,9.0,Eben-Threader,57
1124,1125,M,25,1990-01-19,Software Test Engineer III,IT,Affluent Customer,N,No,9.0,Raff-Everley,32
1126,1127,F,30,1991-02-27,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,8.0,Elly-Ormshaw,31
1127,1128,F,47,1992-04-12,Financial Advisor,Financial Services,Mass Customer,N,Yes,8.0,Kirsten-Longman,30
1128,1129,M,2,1977-06-29,VP Marketing,Entertainment,Mass Customer,N,Yes,9.0,Hercule-nan,45
1131,1132,F,99,1985-08-01,Actuary,Financial Services,Affluent Customer,N,Yes,9.0,Coriss-Darkott,37
1133,1134,M,22,1994-09-30,Administrative Assistant IV,Financial Services,Affluent Customer,N,No,3.0,Sullivan-Scullion,28
1134,1135,F,60,1980-05-03,Software Engineer IV,Financial Services,Mass Customer,N,Yes,11.0,Mireielle-Avrasin,42
1135,1136,M,72,1977-08-31,Executive Secretary,Property,High Net Worth,N,No,7.0,Ivan-Blackhall,45
1137,1138,F,77,1991-09-21,Statistician I,Retail,Mass Customer,N,Yes,5.0,Elli-Loxdale,31
1138,1139,M,52,1982-09-15,Editor,Manufacturing,Mass Customer,N,Yes,16.0,Shellysheldon-Wickey,40
1141,1142,M,95,1998-05-07,Desktop Support Technician,Telecommunications,Mass Customer,N,No,2.0,Michal-Paiton,24
1142,1143,M,64,1955-03-06,Office Assistant IV,Health,Mass Customer,N,Yes,6.0,Goraud-Boissieux,67
1143,1144,M,73,1996-12-12,Environmental Specialist,Health,High Net Worth,N,Yes,5.0,Damon-Phelip,26
1145,1146,M,88,1992-08-31,Assistant Professor,Financial Services,High Net Worth,N,No,8.0,Hadleigh-Birley,30
1146,1147,M,71,1968-07-09,Health Coach II,Entertainment,High Net Worth,N,Yes,9.0,Tate-Studholme,54
1147,1148,M,60,1987-09-28,Statistician IV,Financial Services,High Net Worth,N,No,5.0,Inigo-Ojeda,35
1149,1150,F,64,1975-09-26,Information Systems Manager,Financial Services,Mass Customer,N,Yes,13.0,Bernelle-Warwick,47
1150,1151,F,27,1965-04-06,VP Product Management,Argiculture,High Net Worth,N,Yes,19.0,Brena-Amburgy,57
1151,1152,M,47,1998-06-23,Business Systems Development Analyst,Financial Services,Mass Customer,N,Yes,3.0,Humfrid-Ducket,24
1152,1153,F,53,1995-01-17,Desktop Support Technician,Health,Mass Customer,N,Yes,3.0,Mirilla-Lothlorien,27
1153,1154,M,26,1974-11-24,Research Nurse,Health,Mass Customer,N,Yes,20.0,Chase-Youd,48
1154,1155,F,73,1994-01-15,VP Marketing,Property,Mass Customer,N,Yes,9.0,Janetta-Hartrick,28
1155,1156,F,22,1997-10-16,Marketing Assistant,Argiculture,Mass Customer,N,Yes,1.0,Breena-Risebrow,25
1156,1157,M,69,1974-04-03,Research Nurse,Health,Affluent Customer,N,Yes,17.0,Saunder-Camerati,48
1158,1159,M,94,1993-01-28,Librarian,Entertainment,Mass Customer,N,No,1.0,Elbert-Bridgement,29
1159,1160,F,98,1965-04-08,Speech Pathologist,IT,Affluent Customer,N,No,10.0,Trisha-Nisuis,57
1160,1161,F,86,1977-01-14,Senior Quality Engineer,Retail,Mass Customer,N,No,15.0,Sibylle-Cutsforth,45
1162,1163,M,77,1981-11-13,Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,Manolo-Dwire,41
1163,1164,F,97,1977-01-09,Food Chemist,Health,Mass Customer,N,Yes,17.0,Gilligan-Mowat,45
1164,1165,F,58,1993-06-23,Administrative Assistant IV,Financial Services,High Net Worth,N,No,2.0,Fanni-Wakelin,29
1165,1166,F,40,1972-12-05,Quality Control Specialist,Health,Affluent Customer,N,No,8.0,Fannie-Devil,50
1166,1167,F,20,1996-06-03,Software Test Engineer III,Health,Mass Customer,N,No,4.0,Elberta-Crickett,26
1167,1168,M,44,1965-02-16,Pharmacist,Health,Affluent Customer,N,No,18.0,Iosep-Shaddick,57
1168,1169,F,33,1967-08-09,Actuary,Financial Services,Mass Customer,N,Yes,13.0,Kessiah-Corden,55
1169,1170,F,62,1964-11-30,Assistant Professor,IT,Mass Customer,N,Yes,4.0,Lari-Rotte,58
1172,1173,F,58,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0,Gertie-Chaim,44
1176,1177,F,47,1953-08-31,Food Chemist,Health,Affluent Customer,N,Yes,6.0,Bobbette-Pozzi,69
1177,1178,M,1,1970-05-26,Pharmacist,Health,Mass Customer,N,No,13.0,Angelo-Byne,52
1178,1179,M,56,1988-08-15,Media Manager IV,Financial Services,High Net Worth,N,Yes,13.0,Kerry-Pashenkov,34
1179,1180,F,48,1975-08-17,Account Representative I,Financial Services,Affluent Customer,N,No,10.0,Gaye-Quickenden,47
1180,1181,F,2,1978-06-06,Tax Accountant,Argiculture,Mass Customer,N,No,8.0,Brita-Plant,44
1181,1182,F,84,1975-01-11,Data Coordiator,IT,Mass Customer,N,Yes,7.0,Carolann-Ottiwill,47
1183,1184,F,89,1968-10-07,Social Worker,Health,Mass Customer,N,No,13.0,Auberta-Teodori,54
1185,1186,M,70,1977-05-28,Help Desk Operator,Manufacturing,Affluent Customer,N,Yes,20.0,Brantley-Cecchi,45
1188,1189,M,22,1988-08-29,Geologist I,Health,High Net Worth,N,Yes,8.0,Mart-Bazoche,34
1189,1190,F,67,1968-09-07,Assistant Professor,Financial Services,Affluent Customer,N,Yes,10.0,Sib-Gilby,54
1191,1192,F,31,1969-12-12,VP Quality Control,Manufacturing,Mass Customer,N,No,16.0,Hollyanne-McCarter,53
1192,1193,M,58,1986-01-21,Safety Technician I,Retail,High Net Worth,N,No,5.0,Quintus-Whear,36
1193,1194,F,69,1992-03-25,Junior Executive,Telecommunications,Affluent Customer,N,No,3.0,Audry-Scurrey,30
1194,1195,F,0,1978-03-22,VP Marketing,Telecommunications,Mass Customer,N,No,18.0,Ally-Folliott,44
1195,1196,F,23,1998-03-19,Research Nurse,Health,Mass Customer,N,No,2.0,Phillie-Bradforth,24
1196,1197,F,44,1997-10-16,Professor,Financial Services,High Net Worth,N,Yes,5.0,Isobel-Lampett,25
1197,1198,F,73,1973-09-30,Sales Representative,Retail,High Net Worth,N,No,7.0,Alina-Rickson,49
1198,1199,M,7,1958-06-14,VP Accounting,Financial Services,Affluent Customer,N,Yes,5.0,Ludovico-Bertot,64
1199,1200,F,38,1974-04-30,Librarian,Entertainment,High Net Worth,N,No,18.0,Hedda-Lathom,48
1201,1202,M,90,1992-02-26,Sales Representative,Retail,Mass Customer,N,Yes,8.0,Rollie-nan,30
1202,1203,F,38,1988-05-06,Technical Writer,Health,Affluent Customer,N,No,22.0,Claresta-Carnier,34
1203,1204,F,12,1971-03-24,Senior Developer,Manufacturing,Affluent Customer,N,Yes,16.0,Trudy-Huffy,51
1204,1205,M,38,1978-06-05,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,No,13.0,Barton-Baudts,44
1205,1206,F,13,1978-05-07,Paralegal,Financial Services,Mass Customer,N,No,13.0,Lucina-Metcalf,44
1206,1207,F,30,1997-09-25,Engineer IV,Health,Mass Customer,N,No,1.0,Mabel-Marousek,25
1207,1208,F,23,1983-12-26,Budget/Accounting Analyst IV,Financial Services,Mass Customer,N,No,15.0,Lira-Durn,39
1208,1209,M,40,1977-09-06,Senior Developer,Property,High Net Worth,N,Yes,11.0,Jacky-Jerosch,45
1210,1211,M,45,1978-07-23,VP Sales,Financial Services,Affluent Customer,N,Yes,14.0,Gunar-Petasch,44
1211,1212,F,28,1968-10-24,Legal Assistant,Property,Affluent Customer,N,No,13.0,Cindy-Freeborn,54
1213,1214,M,0,1989-05-01,Internal Auditor,Property,High Net Worth,N,No,15.0,Martino-Shalcros,33
1214,1215,F,79,1967-02-26,VP Quality Control,Manufacturing,Mass Customer,N,No,11.0,Dyann-Turbard,55
1215,1216,F,15,1959-06-25,Software Test Engineer I,Telecommunications,Affluent Customer,N,Yes,10.0,Frank-Vallerine,63
1216,1217,F,67,1968-08-19,Structural Engineer,Manufacturing,High Net Worth,N,No,16.0,Dulcinea-Janssen,54
1220,1221,M,75,1995-09-25,VP Product Management,Health,High Net Worth,N,Yes,14.0,Byrom-Draisey,27
1221,1222,F,83,1970-11-01,Account Executive,Property,Mass Customer,N,No,19.0,Barbey-Ville,52
1222,1223,F,19,1965-01-05,Senior Sales Associate,Manufacturing,Mass Customer,N,Yes,16.0,Kristyn-nan,57
1223,1224,F,9,1977-04-04,Junior Executive,Manufacturing,Mass Customer,N,No,16.0,Aundrea-Reisenberg,45
1224,1225,M,5,1988-01-22,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,Arte-Witchell,34
1225,1226,F,32,1981-03-16,Director of Sales,Health,Mass Customer,N,Yes,13.0,Constantia-Sirr,41
1226,1227,F,63,1989-09-30,Software Engineer I,IT,Affluent Customer,N,Yes,12.0,Carlina-Pencot,33
1227,1228,F,43,1962-04-27,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,6.0,Marti-Bisterfeld,60
1228,1229,M,38,2000-01-08,GIS Technical Architect,Manufacturing,Affluent Customer,N,Yes,1.0,Sebastian-Trass,22
1230,1231,F,94,1973-07-28,Social Worker,Health,Affluent Customer,N,No,18.0,Aloisia-Shawel,49
1231,1232,M,83,1959-09-12,Help Desk Operator,Property,Affluent Customer,N,No,20.0,Stillmann-Wilfling,63
1234,1235,F,24,1969-02-28,Dental Hygienist,Health,Mass Customer,N,No,9.0,Sharon-Cranage,53
1235,1236,M,75,1974-05-21,Web Designer IV,Financial Services,High Net Worth,N,Yes,18.0,Bryanty-Megarrell,48
1236,1237,F,6,1969-12-31,Research Nurse,Health,High Net Worth,N,No,16.0,Junia-Humerstone,53
1239,1240,F,64,1965-05-13,Sales Associate,Manufacturing,Mass Customer,N,Yes,19.0,Pen-Earey,57
1240,1241,F,23,1986-03-22,Pharmacist,Health,Affluent Customer,N,Yes,11.0,Lolly-Junkison,36
1241,1242,M,36,1973-02-04,Human Resources Assistant III,Property,High Net Worth,N,Yes,18.0,Bartholomeo-Meeke,49
1242,1243,M,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,Robbert-Blakey,69
1244,1245,M,34,1994-05-31,Product Engineer,Manufacturing,Affluent Customer,N,No,1.0,Erin-Shawell,28
1246,1247,F,15,1960-10-05,Geologist I,Entertainment,Affluent Customer,N,No,11.0,Hildagarde-Eyrl,62
1249,1250,F,42,2001-11-02,Help Desk Technician,Manufacturing,Mass Customer,N,No,1.0,Jacklyn-Kewley,21
1250,1251,M,63,1997-10-01,Desktop Support Technician,Property,Mass Customer,N,No,2.0,Codie-Arnecke,25
1251,1252,M,46,1965-01-16,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,14.0,Les-Ellwood,57
1252,1253,F,81,1996-08-19,Research Assistant I,Manufacturing,Mass Customer,N,No,5.0,Mahalia-nan,26
1253,1254,M,60,1958-12-18,Graphic Designer,Retail,Mass Customer,N,Yes,5.0,Quillan-McDuffie,64
1255,1256,M,8,1986-05-11,Food Chemist,Health,High Net Worth,N,No,9.0,Granny-Lukes,36
1256,1257,M,40,1972-06-19,Assistant Professor,Property,Affluent Customer,N,Yes,9.0,Prentiss-MacVicar,50
1257,1258,M,89,1978-04-21,Geological Engineer,Manufacturing,Mass Customer,N,No,6.0,Nefen-Ferriere,44
1258,1259,F,23,1973-11-24,Assistant Professor,Financial Services,Mass Customer,N,No,9.0,Emmi-Dymock,49
1259,1260,M,92,1989-10-01,Tax Accountant,Property,Mass Customer,N,No,9.0,Fremont-Spawton,33
1260,1261,F,61,1971-02-16,Legal Assistant,Manufacturing,Mass Customer,N,No,4.0,Candice-Lohde,51
1262,1263,M,41,1973-06-16,Nurse,Manufacturing,Affluent Customer,N,No,8.0,Elliot-Posselow,49
1264,1265,M,72,1987-07-22,Biostatistician I,Property,Mass Customer,N,Yes,2.0,Kipper-Monck,35
1265,1266,M,68,1978-05-02,Human Resources Manager,Health,Mass Customer,N,Yes,10.0,Harry-nan,44
1266,1267,M,39,1979-06-03,Safety Technician IV,Entertainment,Affluent Customer,N,Yes,19.0,Leopold-Dainton,43
1268,1269,M,56,1990-08-25,Account Coordinator,Property,High Net Worth,N,Yes,7.0,Ravid-Kilgallon,32
1269,1270,M,72,1983-02-27,Paralegal,Financial Services,Affluent Customer,N,No,10.0,Cullen-Langshaw,39
1270,1271,F,71,1994-07-11,Accounting Assistant II,Telecommunications,Mass Customer,N,Yes,6.0,Jo-anne-Pringer,28
1272,1273,M,48,1974-07-31,General Manager,Financial Services,Affluent Customer,N,Yes,14.0,Hieronymus-Whinray,48
1273,1274,M,12,1977-11-16,Mechanical Systems Engineer,Manufacturing,Mass Customer,N,No,20.0,Emmerich-Tinkler,45
1274,1275,F,70,1966-01-10,General Manager,Health,Mass Customer,N,Yes,8.0,Francisca-Whittek,56
1275,1276,M,24,1964-06-07,Dental Hygienist,Health,Affluent Customer,N,No,4.0,Farrel-Waiting,58
1277,1278,F,14,1998-11-15,Pharmacist,Health,Affluent Customer,N,No,2.0,Betsy-Schruurs,24
1278,1279,M,30,1962-08-12,Staff Accountant I,Financial Services,Mass Customer,N,No,20.0,Burr-Lygoe,60
1279,1280,M,71,1978-01-24,Marketing Assistant,Manufacturing,High Net Worth,N,Yes,15.0,Horacio-Peyntue,44
1280,1281,M,29,1968-07-07,Administrative Assistant III,Manufacturing,Affluent Customer,N,Yes,16.0,Leighton-Zisneros,54
1281,1282,M,99,1980-11-15,Programmer Analyst III,Entertainment,Affluent Customer,N,Yes,14.0,Garald-Pidler,42
1282,1283,F,43,1994-08-23,Clinical Specialist,Health,Mass Customer,N,No,1.0,Tory-Minnette,28
1283,1284,M,30,1976-01-28,Junior Executive,Entertainment,Affluent Customer,N,No,11.0,Alexis-Aronov,46
1284,1285,M,44,1973-05-23,Office Assistant III,Manufacturing,Mass Customer,N,Yes,12.0,Tomkin-Fudge,49
1285,1286,F,83,1975-06-28,Senior Quality Engineer,Manufacturing,High Net Worth,N,Yes,16.0,Mina-Clawley,47
1286,1287,M,72,1960-10-23,Systems Administrator I,Financial Services,Mass Customer,N,Yes,20.0,Nicko-Saddleton,62
1287,1288,F,51,1979-10-07,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,18.0,Abra-Cuardall,43
1289,1290,M,49,1967-08-08,VP Marketing,Financial Services,High Net Worth,N,Yes,6.0,Vassily-Ramalho,55
1290,1291,M,0,1980-08-16,Quality Engineer,Health,Mass Customer,N,No,12.0,Warner-Zuker,42
1292,1293,M,89,1980-10-07,Quality Engineer,IT,Mass Customer,N,No,8.0,Vidovic-Fretson,42
1294,1295,M,66,1997-01-25,Nurse,Argiculture,Mass Customer,N,Yes,5.0,Irving-Murton,25
1295,1296,F,61,1989-03-11,Paralegal,Financial Services,Affluent Customer,N,Yes,9.0,Essy-Vondrak,33
1296,1297,M,91,1981-02-12,Social Worker,Health,Mass Customer,N,No,3.0,Shay-Gimbart,41
1297,1298,M,35,1974-04-06,Research Nurse,Health,Mass Customer,N,No,16.0,Guglielmo-Yele,48
1299,1300,F,0,1991-03-10,Physical Therapy Assistant,Financial Services,Affluent Customer,N,Yes,9.0,Sisely-Strelitzer,31
1300,1301,F,17,1991-11-25,Structural Analysis Engineer,Health,Mass Customer,N,No,9.0,Trix-nan,31
1301,1302,F,29,1998-05-03,Biostatistician I,Financial Services,Affluent Customer,N,Yes,2.0,Ericka-Eggers,24
1304,1305,M,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,Averil-Gentiry,52
1305,1306,M,13,1956-04-12,Occupational Therapist,Health,Affluent Customer,N,Yes,13.0,Doyle-Oleksinski,66
1306,1307,F,73,1970-09-06,Dental Hygienist,Health,High Net Worth,N,Yes,10.0,Emlyn-Musgrave,52
1309,1310,M,38,1986-12-20,Geological Engineer,Manufacturing,High Net Worth,N,Yes,13.0,Keane-Leebeter,36
1310,1311,F,89,1984-10-06,VP Accounting,Financial Services,Mass Customer,N,Yes,13.0,Sharona-Cunah,38
1311,1312,F,96,1994-07-16,Food Chemist,Health,Affluent Customer,N,No,8.0,Magda-Baugh,28
1312,1313,M,59,1986-02-09,Analyst Programmer,Property,Mass Customer,N,No,22.0,Hughie-Laboune,36
1313,1314,F,25,1970-02-23,Clinical Specialist,Health,Mass Customer,N,Yes,6.0,De-Eilhart,52
1315,1316,M,79,1990-03-06,Recruiter,Retail,High Net Worth,N,Yes,18.0,Steven-Castellaccio,32
1316,1317,M,2,1973-01-18,General Manager,Retail,Mass Customer,N,Yes,5.0,Barrett-Lindley,49
1317,1318,F,10,1966-08-17,Senior Developer,Financial Services,Mass Customer,N,Yes,4.0,Barbe-Assender,56
1320,1321,F,29,1994-07-05,Editor,Argiculture,Affluent Customer,N,No,8.0,Bree-Domenge,28
1321,1322,F,37,2001-10-16,Data Coordiator,Financial Services,Mass Customer,N,Yes,1.0,Kathye-Christie,21
1323,1324,F,88,1978-02-22,Web Designer III,Manufacturing,Mass Customer,N,No,11.0,Randie-Arnowitz,44
1324,1325,M,67,1968-08-25,Account Executive,Argiculture,High Net Worth,N,Yes,14.0,Ty-Belliard,54
1325,1326,M,15,1966-02-23,Biostatistician III,Health,Affluent Customer,N,Yes,5.0,Goddard-Tinn,56
1326,1327,F,57,1995-11-25,Director of Sales,Property,Affluent Customer,N,No,6.0,Sarita-Khosa,27
1327,1328,M,19,1981-09-02,Budget/Accounting Analyst IV,IT,Mass Customer,N,Yes,6.0,Stavro-Gargett,41
1330,1331,M,12,1987-03-24,Tax Accountant,Telecommunications,High Net Worth,N,No,17.0,Edward-Hawkwood,35
1332,1333,M,4,1973-08-23,Compensation Analyst,Financial Services,High Net Worth,N,No,9.0,Phillipp-McMonnies,49
1333,1334,F,72,1998-10-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,4.0,Cicily-Jenks,24
1336,1337,F,15,1988-03-08,Structural Engineer,Health,Mass Customer,N,No,10.0,Damara-Wheatland,34
1338,1339,F,82,1978-12-09,Editor,IT,High Net Worth,N,No,14.0,Mariam-Guiel,44
1340,1341,M,65,1986-05-18,Computer Systems Analyst I,Financial Services,Affluent Customer,N,No,15.0,Parry-Rigolle,36
1342,1343,M,67,1979-12-10,Dental Hygienist,Health,High Net Worth,N,No,5.0,Creight-Deery,43
1343,1344,F,20,1995-11-02,Tax Accountant,Manufacturing,Mass Customer,N,No,4.0,Renelle-Tutin,27
1344,1345,M,94,1960-09-11,Senior Sales Associate,Manufacturing,Mass Customer,N,No,12.0,Jeth-Marien,62
1345,1346,M,9,1970-06-19,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19.0,Woody-Dowthwaite,52
1346,1347,F,14,1977-12-16,Help Desk Operator,Manufacturing,Mass Customer,N,Yes,14.0,Leisha-Signoret,45
1348,1349,M,83,1997-05-07,Electrical Engineer,Manufacturing,Affluent Customer,N,No,1.0,Curran-Gush,25
1349,1350,M,10,1957-09-30,Staff Scientist,Retail,Mass Customer,N,Yes,8.0,Bing-Vicar,65
1351,1352,M,53,1954-12-28,Electrical Engineer,Manufacturing,High Net Worth,N,No,18.0,Jerald-Lesly,68
1352,1353,F,1,1980-03-31,Clinical Specialist,Health,Mass Customer,N,Yes,11.0,Phebe-Dockwra,42
1353,1354,F,0,2000-10-15,Analyst Programmer,Financial Services,Affluent Customer,N,No,2.0,Karee-Hyman,22
1354,1355,M,37,2001-04-04,VP Quality Control,Property,Mass Customer,N,No,1.0,Isador-Hallitt,21
1356,1357,M,69,1993-05-14,Research Nurse,Health,High Net Worth,N,No,6.0,Waylin-Eassom,29
1357,1358,M,8,1994-04-11,Dental Hygienist,Health,High Net Worth,N,No,6.0,Gerome-Whittock,28
1358,1359,F,54,1993-02-24,Help Desk Technician,Retail,Mass Customer,N,No,6.0,Estrella-Carwithen,29
1359,1360,M,41,1970-07-04,Design Engineer,Manufacturing,Mass Customer,N,Yes,15.0,Maurice-Blas,52
1360,1361,M,56,1964-12-12,Professor,Manufacturing,Affluent Customer,N,No,19.0,Gradeigh-Saltmarshe,58
1361,1362,F,20,1973-02-20,Account Executive,Manufacturing,Affluent Customer,N,Yes,15.0,Giuditta-Dearlove,49
1362,1363,M,7,1961-10-16,Associate Professor,Financial Services,Mass Customer,N,No,18.0,Boniface-Kivelhan,61
1363,1364,M,99,1978-04-20,Junior Executive,Manufacturing,Mass Customer,N,No,21.0,Selby-Cabbell,44
1364,1365,M,97,1992-04-19,Research Associate,Health,Mass Customer,N,No,3.0,Shurlocke-Pirie,30
1365,1366,M,10,1974-06-30,Computer Systems Analyst IV,Retail,Affluent Customer,N,No,22.0,Zacharia-Rigler,48
1366,1367,F,63,1973-06-29,Internal Auditor,Retail,Mass Customer,N,No,18.0,Fredrika-Danielkiewicz,49
1368,1369,F,51,1994-05-08,Civil Engineer,Manufacturing,Mass Customer,N,Yes,6.0,Ilka-Allabush,28
1369,1370,F,44,1986-10-23,Computer Systems Analyst IV,Property,Mass Customer,N,No,18.0,Chastity-Martinat,36
1370,1371,F,39,1959-08-02,Design Engineer,Retail,Mass Customer,N,Yes,13.0,Aretha-Joscelyn,63
1371,1372,M,44,1980-07-02,Computer Systems Analyst III,Manufacturing,Affluent Customer,N,No,17.0,Rockie-Wheldon,42
1372,1373,F,3,1958-09-23,Director of Sales,Financial Services,Mass Customer,N,Yes,12.0,Shaylynn-Epsley,64
1374,1375,M,36,1978-12-07,Analog Circuit Design manager,Financial Services,Affluent Customer,N,No,18.0,Archie-Van den Hof,44
1375,1376,M,89,1966-03-12,Environmental Tech,Health,Mass Customer,N,Yes,18.0,Pail-nan,56
1376,1377,M,86,1989-05-11,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,2.0,Giacomo-Roseburgh,33
1378,1379,F,63,1989-06-16,Legal Assistant,Financial Services,Mass Customer,N,Yes,7.0,Lou-Drews,33
1379,1380,F,99,1998-09-30,Financial Analyst,Financial Services,Mass Customer,N,No,3.0,Lavina-Clavey,24
1380,1381,M,79,1985-03-11,Engineer IV,Manufacturing,Affluent Customer,N,Yes,15.0,Ellary-Ramsey,37
1381,1382,M,27,1989-10-23,Data Coordiator,Manufacturing,High Net Worth,N,Yes,20.0,Lucio-Reame,33
1382,1383,F,81,1957-10-29,Software Consultant,IT,Affluent Customer,N,No,8.0,Coriss-Casarino,65
1383,1384,F,48,1998-09-09,Quality Control Specialist,Manufacturing,Mass Customer,N,No,2.0,Marcile-Carren,24
1384,1385,F,39,1957-08-17,Cost Accountant,Financial Services,Mass Customer,N,No,16.0,Melesa-Priddy,65
1385,1386,F,71,1967-06-12,Help Desk Technician,Retail,Mass Customer,N,Yes,12.0,Mufinella-Kalvin,55
1386,1387,F,33,1977-07-11,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,4.0,Natalee-Comport,45
1387,1388,M,86,1972-08-14,Internal Auditor,Financial Services,Mass Customer,N,No,7.0,Carny-Shilstone,50
1389,1390,F,74,2000-01-25,Accounting Assistant I,Retail,High Net Worth,N,Yes,1.0,Christyna-Feldberg,22
1390,1391,F,62,1976-08-05,Marketing Assistant,Retail,High Net Worth,N,No,12.0,Winni-Cana,46
1391,1392,F,28,2000-01-15,Human Resources Manager,Financial Services,Mass Customer,N,No,1.0,Marris-Waison,22
1395,1396,M,20,1987-10-07,Cost Accountant,Financial Services,Mass Customer,N,No,18.0,Sinclair-Melonby,35
1396,1397,M,29,1979-01-21,Legal Assistant,Manufacturing,Mass Customer,N,Yes,14.0,Dimitri-Durie,43
1397,1398,F,11,1966-11-29,Project Manager,Manufacturing,Mass Customer,N,No,17.0,Anderea-Pulteneye,56
1398,1399,F,84,1967-09-08,Staff Scientist,Manufacturing,Mass Customer,N,No,15.0,Kaye-Clulow,55
1399,1400,F,51,1982-05-23,Senior Developer,Manufacturing,Affluent Customer,N,Yes,7.0,Rikki-Eytel,40
1401,1402,M,58,2001-12-08,Assistant Professor,Telecommunications,Mass Customer,N,No,1.0,Hillier-Andraud,21
1402,1403,F,18,1980-12-01,Geologist II,Retail,Mass Customer,N,No,16.0,Germana-McFadin,42
1403,1404,M,78,1957-07-30,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,14.0,Emmott-Mercik,65
1404,1405,F,52,1958-04-05,VP Product Management,Manufacturing,High Net Worth,N,Yes,11.0,Kylie-Spriggin,64
1405,1406,M,3,1970-05-05,Cost Accountant,Financial Services,High Net Worth,N,Yes,17.0,Georges-Tilne,52
1406,1407,F,43,1980-10-04,Structural Analysis Engineer,Manufacturing,Mass Customer,N,Yes,9.0,Tamarah-Sobtka,42
1407,1408,M,14,1997-06-22,Dental Hygienist,Health,High Net Worth,N,No,4.0,Kendricks-Plastow,25
1409,1410,F,10,1997-01-22,Marketing Manager,Retail,High Net Worth,N,Yes,6.0,Althea-Macvey,25
1410,1411,F,24,1994-05-04,Registered Nurse,Health,Mass Customer,N,Yes,5.0,Katrina-Coltart,28
1412,1413,F,47,1998-04-24,Administrative Assistant II,Financial Services,Mass Customer,N,No,3.0,Vi-Lauga,24
1413,1414,F,57,1980-02-29,Help Desk Technician,Retail,Mass Customer,N,Yes,10.0,Allison-Clowton,42
1414,1415,F,68,1998-12-14,Executive Secretary,Property,High Net Worth,N,Yes,3.0,Merilyn-Dikle,24
1417,1418,F,80,1976-11-29,Senior Sales Associate,IT,Affluent Customer,N,Yes,21.0,Valaria-Hugh,46
